"SLO
VENIJA";"ZAHODNA SLO
VENIJA";Obalno-kraška;Goriška;Gorenjska;Osrednjeslovenska;"VZHODNA SLO
VENIJA";"Notranj
sko-kraška";Jugovzhodna Slovenija;"Spodnje
posavska";Zasavska;Savinjska;Koroška;Podravska;Pomurska;
1995;8.151;9.695;8.843;8.093;7.273;11.247;6.864;6.413;7.234;6.591;6.909;7.576;6.492;6.651;6.101
1996;8.488;10.102;9.260;8.481;7.553;11.704;7.139;6.716;7.521;6.854;7.124;7.821;6.766;6.950;6.372
1997;9.100;10.783;9.824;9.147;8.210;12.429;7.693;7.318;8.230;7.497;7.660;8.394;7.228;7.476;6.776
1998;9.785;11.569;10.532;9.707;8.784;13.368;8.289;7.911;8.949;8.414;8.141;8.980;7.814;8.032;7.238
1999;10.558;12.549;11.171;10.570;9.286;14.651;8.889;8.309;9.618;8.814;8.696;9.667;8.417;8.752;7.460
2000 (a);10.908;12.898;11.760;10.664;9.693;14.975;9.230;8.797;10.147;9.580;8.560;9.798;9.141;8.996;7.928
2001;11.502;13.663;12.281;11.309;10.328;15.872;9.677;8.936;10.936;10.047;8.596;10.159;9.733;9.485;8.230
2002;12.316;14.602;13.200;12.046;11.043;16.948;10.380;9.484;11.671;10.876;8.931;11.047;10.111;10.297;8.551
2003;12.942;15.567;13.831;12.427;11.555;18.305;10.712;9.716;12.203;10.776;9.208;11.456;10.383;10.615;8.867
2004;13.645;16.408;14.559;12.910;12.234;19.313;11.293;10.130;12.942;11.325;9.588;12.077;10.776;11.261;9.278
2005;14.355;17.265;15.160;13.552;12.596;20.462;11.870;10.421;13.390;12.188;10.037;12.783;11.458;11.854;9.613
2006;15.464;18.679;16.486;14.442;13.359;22.267;12.706;11.095;14.672;12.818;10.396;13.538;12.038;12.881;10.109
2007;17.135;20.655;18.278;16.362;14.760;24.506;14.104;12.350;16.248;14.328;11.336;14.977;13.355;14.363;11.171
2008;18.420;22.027;19.842;17.633;15.733;25.942;15.266;13.277;17.478;15.579;12.291;16.479;14.288;15.473;11.909
2009;17.349;20.792;18.892;16.419;14.265;24.686;14.307;12.585;16.030;14.882;11.570;15.453;13.037;14.518;11.415
2010;17.320;20.690;18.974;16.305;14.354;24.451;14.320;12.400;16.096;14.718;11.697;15.670;12.996;14.426;11.367
2011;17.610;20.854;18.819;16.340;14.643;24.649;14.709;12.494;16.315;15.259;11.794;16.157;13.642;14.732;11.948
2012;17.172;20.319;17.550;15.751;14.358;24.170;14.347;11.990;15.768;14.969;11.022;15.730;13.673;14.359;11.872
