Team;W;FG%;3P%;FT%;REB;AST;STL;BLK;BLKA;PTS;+/-;DIVISION
Atlanta Hawks;38;45.8;36.3;78.1;40;24.9;8.3;4;4.3;101;-0.5;SE
Boston Celtics;25;43.5;33.3;77.7;42.5;21;7.1;4.2;4.5;96.2;-4.5;A
Brooklyn Nets;44;45.9;36.9;75.3;38.1;20.9;8.6;3.8;4.1;98.5;-1;A
Charlotte Bobcats;43;44.2;35.1;73.7;42.7;21.7;6.1;5.1;5.1;96.9;-0.2;SE
Chicago Bulls;48;43.2;34.8;77.9;44.1;22.7;7.2;5.2;6;93.7;1.9;C
Cleveland Cavaliers;33;43.7;35.6;75.1;44.1;21.2;7.1;3.7;5.6;98.2;-3.3;C
Dallas Mavericks;49;47.4;38.4;79.5;40.9;23.6;8.6;4.3;3.5;104.8;2.4;SW
Denver Nuggets;36;44.7;35.8;72.6;45.4;22.4;7.5;5.6;5.6;104.4;-2.1;NW
Detroit Pistons;29;44.7;32.1;67;45.4;20.9;8.4;4.8;4.9;101;-3.7;C
Golden State Warriors;51;46.2;38;75.3;45.3;23.3;7.8;5;4.2;104.3;4.8;P
Houston Rockets;54;47.2;35.8;71.2;45.3;21.4;7.6;5.6;5.6;107.7;4.6;SW
Indiana Pacers;56;44.9;35.7;77.9;44.7;20.1;6.7;5.4;4.6;96.7;4.4;C
Los Angeles Clippers;57;47.4;35.2;73;43;24.6;8.6;4.8;3.5;107.9;7;P
Los Angeles Lakers;27;45;38.1;75.7;41;24.5;7.5;5.4;4.7;103;-6.3;P
Memphis Grizzlies;50;46.4;35.3;74.1;42.4;21.9;7.7;4.6;5;96.1;1.6;SW
Miami Heat;54;50.1;36.4;76;36.9;22.5;8.9;4.5;3.1;102.2;4.8;SE
Milwaukee Bucks;15;43.8;35.3;74.7;41.1;21.5;6.6;4.9;5;95.5;-8.2;C
Minnesota Timberwolves;40;44.4;34.1;77.8;44.7;23.9;8.8;3.6;5.6;106.9;2.7;NW
New Orleans Pelicans;34;45.9;37.3;76.9;41.7;21.3;7.9;6.4;6.1;99.7;-2.7;SW
New York Knicks;37;44.9;37.2;76.1;40.3;20;7.7;4.5;3.4;98.6;-0.8;A
Oklahoma City Thunder;59;47.1;36.1;80.6;44.7;21.9;8.3;6.1;3.6;106.2;6.3;NW
Orlando Magic;23;44.5;35.3;76.3;42;21;7.7;4.3;5.4;96.5;-5.4;SE
Philadelphia 76ers;19;43.5;31.2;71;42.7;21.8;9.3;4;6.8;99.5;-10.5;A
Phoenix Suns;48;46.3;37.2;75.8;43;19.1;8.4;4.6;4;105.2;2.6;P
Portland Trail Blazers;54;45;37.2;81.5;46.4;23.2;5.5;4.7;3.7;106.7;4;NW
Sacramento Kings;28;44.7;33.3;75.9;44.5;18.9;7.2;3.9;5.6;100.5;-2.9;P
San Antonio Spurs;62;48.6;39.7;78.5;43.3;25.2;7.4;5.1;4.6;105.4;7.7;SW
Toronto Raptors;48;44.5;37.2;78.2;42.5;21.2;7;4.2;4.3;101.3;3.2;A
Utah Jazz;25;44.4;34.4;74.7;41.2;20.3;7;4.5;4.9;95;-7.2;NW
Washington Wizards;44;45.9;38;73.1;42.2;23.3;8.1;4.6;3.9;100.7;1.3;SE
