Team;GP;W;L;W%;MIN;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PF;PTS;+/-
Atlanta Hawks;41;14;27;34.1;48.4;37.8;81.9;46.2;9.6;26.3;36.6;16.0;20.5;77.7;8.8;30.4;39.2;24.3;15.7;8.6;4.0;4.6;19.9;19.5;101.1;-2.7
Boston Celtics;41;9;32;22.0;48.2;36.3;84.6;42.9;6.9;20.4;33.5;16.5;21.3;77.5;12.0;29.8;41.8;20.1;15.6;7.9;4.3;4.9;22.0;19.2;96.0;-6.4
Brooklyn Nets;41;16;25;39.0;48.7;35.1;79.6;44.1;8.3;23.9;34.8;18.0;23.8;75.7;9.3;29.0;38.4;20.2;14.4;8.5;3.9;4.6;21.3;20.2;96.5;-5.2
Charlotte Bobcats;41;18;23;43.9;48.6;36.5;82.3;44.3;6.6;18.4;35.9;17.6;24.1;73.0;9.2;33.2;42.4;21.0;12.6;6.7;4.4;5.1;18.4;20.2;97.2;-2.6
Chicago Bulls;41;21;20;51.2;48.6;34.0;78.8;43.2;6.5;18.3;35.4;18.3;23.6;77.6;11.0;31.9;42.9;21.3;16.0;7.4;4.6;5.5;19.1;20.6;92.9;-1.1
Cleveland Cavaliers;41;14;27;34.1;48.1;36.7;83.6;43.9;7.1;20.1;35.5;17.0;22.4;75.7;11.2;30.0;41.2;18.9;13.9;7.5;3.0;5.4;20.0;18.8;97.6;-6.8
Dallas Mavericks;41;23;18;56.1;48.1;39.4;84.2;46.8;8.8;23.0;38.5;14.6;18.5;78.9;10.1;30.0;40.2;23.9;13.8;8.4;4.5;3.8;19.9;18.5;102.2;1.0
Denver Nuggets;41;14;27;34.1;48.2;37.7;84.2;44.8;8.3;23.5;35.2;19.0;26.2;72.6;12.1;31.8;44.0;21.4;16.5;7.7;4.8;5.5;22.9;21.2;102.8;-5.2
Detroit Pistons;41;12;29;29.3;48.2;38.7;87.8;44.1;6.6;19.7;33.6;16.9;25.3;66.9;15.2;30.3;45.5;19.7;14.8;8.8;4.5;5.4;19.8;20.7;101.0;-4.8
Golden State Warriors;41;24;17;58.5;48.5;39.0;85.1;45.8;9.6;25.3;38.1;16.1;22.2;72.5;10.7;33.6;44.2;22.4;15.5;7.9;5.2;4.6;22.2;19.5;103.8;2.1
Houston Rockets;41;21;20;51.2;48.2;38.0;81.4;46.6;9.2;26.0;35.6;21.0;29.3;71.6;11.0;33.1;44.1;21.3;16.0;7.4;5.3;5.8;21.2;23.3;106.1;0.1
Indiana Pacers;41;21;20;51.2;48.4;35.1;80.4;43.7;7.2;19.5;37.0;17.5;22.8;76.8;9.7;33.4;43.2;19.3;15.1;6.8;4.6;3.8;21.1;21.6;95.0;-1.7
Los Angeles Clippers;41;23;18;56.1;48.2;38.2;82.3;46.4;8.7;24.3;35.8;20.0;27.4;72.9;10.2;31.5;41.8;23.3;13.4;7.9;4.4;3.8;21.8;22.6;105.1;3.2
Los Angeles Lakers;41;13;28;31.7;48.1;37.7;85.5;44.1;9.4;24.4;38.7;17.2;22.8;75.4;9.9;31.2;41.1;23.0;15.2;7.4;5.2;5.5;20.0;19.5;102.0;-8.5
Memphis Grizzlies;41;23;18;56.1;48.2;37.6;82.3;45.7;4.5;13.2;33.9;13.9;19.0;73.0;11.9;30.9;42.8;22.1;13.5;7.8;4.0;5.0;18.5;18.3;93.6;0.5
Miami Heat;41;22;19;53.7;48.6;37.2;76.2;48.9;8.3;23.1;35.9;17.1;22.5;76.3;7.1;29.4;36.4;23.2;15.0;9.0;4.5;3.3;20.4;20.5;99.9;2.4
Milwaukee Bucks;41;5;36;12.2;48.6;36.4;82.5;44.1;6.8;19.1;35.5;17.0;22.9;74.6;11.4;29.0;40.4;21.5;15.1;7.0;5.2;5.7;21.1;21.0;96.6;-9.2
Minnesota Timberwolves;41;16;25;39.0;48.5;38.4;87.4;44.0;7.8;22.4;34.7;21.2;27.5;77.2;12.6;31.5;44.1;23.7;14.0;8.9;3.6;5.9;17.5;23.0;105.8;-0.9
New Orleans Pelicans;41;12;29;29.3;48.4;37.4;82.6;45.3;5.8;16.0;36.3;17.6;23.1;76.3;11.0;29.0;40.0;20.9;14.4;8.2;4.8;5.9;23.4;20.4;98.3;-6.6
