state,capital,lat,long,conference
Georgia,Atlanta,33.45,-84.23,East
Massachusetts,Boston,42.21,-71.50,East
North Carolina,Charlotte,35.14,-80.50,East
Illinois, Chicago,41.50,-87.37,East
Ohio,Cleveland,41.28,-81.37,East
Texas,Dallas,32.46,-96.46,West
Colorado,Denver,39.45,-105.0,West
Michigan,Detroit,42.20,-83.3,East
California,Golden State,40.706039,-122.635692,West
Texas,Houston,29.45,-95.21,West
Indiana,Indianapolis,39.46,-86.10,East
California,Los Angeles,34.3,-118.15,West
Tennessee,Memphis,35.9,-90.3,West
Florida,Miami,25.46,-80.12,East
Wisconsin,Milwaukee,43.2,-87.55,East
Minnesota,Minneapolis,44.59,-93.14,West
Lousiana,New Orleans,29.57,-90.4,East
New York,New York,40.47,-73.58,East
Oklahoma,Oklahoma City,35.26,-97.28,West
Florida,Orlando,28.4158,-81.2989,East
Pennsylvania,Philadelphia,39.57,-75.10,East
Arizona,Phoenix,33.29,-112.4,West
Oregon,Portland,45.31,-122.41,West
California,Sacramento,38.35,-121.30,West
Texas,San Antonio,29.23,-98.33,West
Ontario,Toronto,43.40,-79.24,East
Utah,Utah,39.50,-111.50,West
District of Columbia,Washington,38.53,-77.02,East
